project,month,status,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
109,2,Graduated,31,175,2,64,235,29,34,0.38493221147497064,-1.080328004321307,0.9657142857142857,0.5957446808510638,0.0,0.13793103448275862,0,0,0,0,0,0,36,62,0.3090428090428091,3.4444444444444446,3,24.0,61
109,3,Graduated,27,247,3,109,227,24,29,-0.006579516623783569,0.035822811684069374,0.757085020242915,0.5286343612334802,0.30434782608695654,0.12,3,2,0.0,1.3333333333333333,1,0.0,30,52,0.12009157509157511,3.466666666666667,7,5.0,62
109,4,Graduated,28,148,3,95,267,25,23,0.2793571466682405,-0.7952361690984677,0.6891891891891891,0.5692883895131086,0.32142857142857145,0.1724137931034483,3,3,1.0,2.0,0,1.0,28,43,0.1488095238095238,3.0714285714285716,15,6.0,44
109,5,Graduated,20,703,2,642,444,18,24,1.0143982774644211,0.22737287743974807,0.887624466571835,0.5180180180180181,0.35,0.10714285714285714,2,1,0.0,1.0,0,0.0,25,50,0.143968253968254,4.0,10,17.0,57
109,6,Graduated,32,144,3,122,376,29,35,0.37345198735063934,-0.4981510363904248,0.6944444444444444,0.4787234042553192,0.5833333333333334,0.037037037037037035,3,3,1.0,2.0,0,1.0,37,75,0.19123279123279122,4.054054054054054,13,30.0,68
109,7,Graduated,39,60,3,38,617,36,48,-0.37764449149692453,0.2094907193450332,0.85,0.5299837925445705,0.42105263157894735,0.03571428571428571,0,0,0,0,0,0,49,104,0.24885751170264972,4.244897959183674,12,61.0,113
109,8,Graduated,39,112,2,88,621,37,45,-0.2444656861503918,-0.40316803765114173,0.8303571428571429,0.6264090177133655,0.64,0.0,2,1,0.0,1.0,0,0.0,52,109,0.23519103207432118,4.1923076923076925,6,59.0,93
109,9,Graduated,34,90,2,72,1104,32,56,0.1724832473788655,-0.05116741799565383,0.9222222222222223,0.5489130434782609,0.48,0.0,2,1,0.0,1.0,0,0.0,58,141,0.22213437903093072,4.862068965517241,14,149.0,137
109,10,Graduated,35,137,3,88,1590,32,41,-0.04894847182750916,-0.0888475415201237,0.8686131386861314,0.6314465408805031,0.21428571428571427,0.0,3,2,0.0,1.3333333333333333,1,0.0,43,122,0.36202079574172596,5.674418604651163,13,153.0,145
110,1,Graduated,7,0,0,0,54,7,7,0,-0.17070694626040608,0,0.37037037037037035,1,0.3333333333333333,0,0,0,0,0,0,7,11,0.3619047619047619,3.142857142857143,2,2.0,16
110,2,Graduated,11,460,4,198,84,7,6,-0.6836093365463832,-0.7908883494924578,0.5021739130434782,0.2619047619047619,0.4166666666666667,0.24,3,3,1.0,2.0,0,1.0,7,15,0.6,4.285714285714286,5,10.0,23
110,3,Graduated,13,207,6,92,113,7,7,-0.8148031428197395,-0.36800323345698255,0.3719806763285024,0.3893805309734513,0.24,0.22727272727272727,5,4,0.0,1.6,2,0.0,8,14,0.4125,3.5,4,5.0,17
110,4,Graduated,9,44,2,34,14,7,7,-0.028824407468308267,-0.4900412510487309,0.8636363636363636,0.35714285714285715,0.6363636363636364,0.6956521739130435,2,1,0.0,1.0,0,0.0,7,7,0.0,2.0,2,0.0,11
110,5,Graduated,10,451,5,120,35,5,6,-1.1710241324478607,0.22750069944699178,0.43680709534368073,0.37142857142857144,0.3103448275862069,0.4444444444444444,3,3,1.0,2.0,0,1.0,6,10,0.5,3.3333333333333335,4,4.0,14
110,6,Graduated,15,1131,5,208,92,10,9,1.2217006646457829,-0.041313299538874464,0.6392572944297082,0.391304347826087,0.4166666666666667,0.28,5,10,1.0,4.0,0,10.0,10,18,0.5816666666666667,3.6,3,8.0,24
110,7,Graduated,3,38,1,33,4,2,2,1.791570753056115,0.4933822002181105,1.0,0.75,0.5416666666666666,0.0,0,0,0,0,0,0,2,2,0.0,2.0,1,0.0,3
110,8,Graduated,3,119,1,7,2,2,2,-3.873503493225136,0,1.0,0.5,0.8333333333333334,0.0,0,0,0,0,0,0,2,1,0.0,1.0,0,0.0,2
110,9,Graduated,6,0,0,0,21,6,5,0,-2.501107796480468,0,0.3333333333333333,1,0.8,0,0,0,0,0,0,6,9,0.6777777777777777,3.0,4,5.0,10
110,10,Graduated,4,0,0,0,10,4,4,0,-0.8400266824635821,0,0.6,1,0.7142857142857143,0,0,0,0,0,0,4,4,0.0,2.0,1,0.0,7
112,1,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,4,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,5,Graduated,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
